code,name,numeric,status,description
O8,Plastic pallet SRS 60 cm x 80 cm,92.0,,SRS (Svenska Retursystem) standard synthetic pallet of dimensions 60 cm x 80 cm.
O9,Plastic pallet SRS 80 cm x 120 cm,92.0,,SRS (Svenska Retursystem) standard synthetic pallet of dimensions 80 cm x 120 cm.
P1,CHEP pallet 60 cm x 80 cm,92.0,,Commonwealth Handling Equipment Pool (CHEP) standard pallet of dimensions 60 centimeters x 80 centimeters.
P3,LPR pallet 60 cm x 80 cm,92.0,,LPR (La Pallet Rouge) standard pallet of dimensions 60 cm x 80 cm.
P4,LPR pallet 80 cm x 120 cm,92.0,,LPR (La Pallet Rouge) standard pallet of dimensions 80 cm x 120 cm.
P2,Pan,51.0,,"A shallow, wide, open container, usually of metal."
PA,Packet,21 to 23,,Small package.
PB,"Pallet, box Combined open-ended box and pallet",92.0,,
PC,Parcel,"21 to 23 or
61 to 63",,
PD,"Pallet, modular, collars 80cms * 100cms",92.0,,Standard sized pallet of dimensions 80 centimeters by 100 centimeters (cms).
PE,"Pallet, modular, collars 80cms * 120cms",92.0,,Standard sized pallet of dimensions 80 centimeters by 120 centimeters (cms).
PF,Pen,26 or 27,,A small open top enclosure for retaining animals.
PG,Plate,15.0,,
PH,Pitcher,41.0,,
PI,Pipe,11.0,,
PJ,Punnet,27.0,,
PK,Package,21 to 23,,Standard packaging unit.
PL,Pail,51.0,,
PN,Plank,16.0,,
PO,Pouch,61.0,,
PP,Piece,19.0,,A loose or unpacked article.
PR,"Receptacle, plastic","21 to 23 or
31 to 33 or
41 to 43 or
61 to 63",,Containment vessel made of plastic for retaining substances or articles.
PT,Pot,41.0,,
PU,Tray,27.0,,
PV,"Pipes, in bundle/bunch/truss",11.0,,
PX,Pallet,92.0,,"Platform or open-ended box, usually made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
PY,"Plates, in bundle/bunch/truss",15.0,,
PZ,"Planks, in bundle/bunch/truss",16.0,,
QA,"Drum, steel, non-removable head",34.0,,
QB,"Drum, steel, removable head",34.0,,
QC,"Drum, aluminium, non-removable head",34.0,,
QD,"Drum, aluminium, removable head",34.0,,
QF,"Drum, plastic, non-removable head",34.0,,
QG,"Drum, plastic, removable head",34.0,,
QH,"Barrel, wooden, bung type",44 or 45,,
QJ,"Barrel, wooden, removable head",44 or 45,,
QK,"Jerrican, steel, non-removable head",23 or 33,,
QL,"Jerrican, steel, removable head",23 or 33,,
QM,"Jerrican, plastic, non-removable head",23 or 33,,
QN,"Jerrican, plastic, removable head",23 or 33,,
QP,"Box, wooden, natural wood, ordinary",21 to 25,,
QQ,"Box, wooden, natural wood, with sift proof walls",21 to 25,,
QR,"Box, plastic, expanded",21 to 25,,
QS,"Box, plastic, solid",21 to 25,,
RD,Rod,12.0,,
RG,Ring,14.0,,
RJ,"Rack, clothing hanger",93.0,,
RK,Rack,93.0,,
RL,Reel,91.0,,Cylindrical rotatory device with a rim at each end on which materials are wound.
RO,Roll,13.0,,
RT,Rednet,66.0,,Containment material made of red mesh netting for retaining articles (e.g. trees).
RZ,"Rods, in bundle/bunch/truss",12.0,,
SA,Sack,65.0,,
SB,Slab,16 or 17,,
SC,"Crate, shallow",27.0,,
SD,Spindle,91.0,,
SE,Sea-chest,22 or 23,,
SH,Sachet,61.0,,
SI,Skid,92.0,,A low movable platform or pallet to facilitate the handling and transport of goods.
SK,"Case, skeleton",26.0,,
SL,Slipsheet,67.0,,Hard plastic sheeting primarily used as the base on which to stack goods to optimise the space within a container. May be used as an alternative to a palletized packaging.
SM,Sheetmetal,15.0,,
SO,Spool,91.0,,"A packaging container used in the transport of such items as wire, cable, tape and yarn."
SP,"Sheet, plastic wrapping",15.0,,
SS,"Case, steel",21 to 25,,
ST,Sheet,15.0,,
SU,Suitcase,"21 to 23 or
61 to 63",,
SV,"Envelope, steel",67.0,,
SW,Shrinkwrapped,67.0,,Goods retained in a transparent plastic film that has been wrapped around and then shrunk tightly on to the goods.
SX,Set,11 to 45,X,
SY,Sleeve,69.0,,
SZ,"Sheets, in bundle/bunch/truss",15.0,,
T1,Tablet,16.0,,"A loose or unpacked article in the form of a bar, block or piece."
TB,Tub,51.0,,
TC,Tea-chest,21 to 23,,
TD,"Tube, collapsible",61 to 65,,
TE,Tyre,93.0,,A ring made of rubber and/or metal surrounding a wheel.
TG,"Tank container, generic",93.0,,A specially constructed container for transporting liquids and gases in bulk.
TI,Tierce,44.0,,
TK,"Tank, rectangular",24 or 25,,
TL,"Tub, with lid",51.0,,
TN,Tin,21 or 22,,
TO,Tun,44 or 45,,
TR,Trunk,24 or 25,,
TS,Truss,16.0,,
TT,"Bag, tote",62 or 63,,A capacious bag or basket.
TU,Tube,11.0,,
TV,"Tube, with nozzle",31 or 32,,"A tube made of plastic, metal or cardboard fitted with a nozzle, containing a liquid or semi-liquid product, e.g. silicon."
TW,"Pallet, triwall",92.0,,A lightweight pallet made from heavy duty corrugated board.
TY,"Tank, cylindrical",34 or 35,,
TZ,"Tubes, in bundle/bunch/truss",11.0,,
UC,Uncaged,0.0,,
UN,Unit,23 to 25 or 27,,"A type of package composed of a single item or object, not otherwise specified as a unit of transport equipment."
VA,Vat,35.0,,
VG,"Bulk, gas (at 1031 mbar and 15°C)",6.0,,
VI,Vial,31.0,,
VK,Vanpack,99.0,,A type of wooden crate.
VL,"Bulk, liquid",4.0,,
VO,"Bulk, solid, large particles (“nodules”)",3.0,,
VP,Vacuum-packed,67.0,,
VQ,"Bulk, liquefied gas (at abnormal temperature/pressure)",5.0,,
VN,Vehicle,93.0,,A self-propelled means of conveyance.
VR,"Bulk, solid, granular particles (“grains”)",2.0,,
VS,"Bulk, scrap metal",9.0,,Loose or unpacked scrap metal transported in bulk form.
VY,"Bulk, solid, fine particles (“powders”)",1.0,,
WA,Intermediate bulk container,"23 to 26 or
62 to 64",,"A reusable container made of metal, plastic, textile, wood or composite materials used to facilitate transportation of bulk solids and liquids in manageable volumes."
WB,Wickerbottle,42 or 43,,
WC,"Intermediate bulk container, steel",23 to 26,,
WD,"Intermediate bulk container, aluminium",23 to 26,,
WF,"Intermediate bulk container, metal",23 to 26,,
WG,"Intermediate bulk container, steel, pressurised > 10 kpa",23 to 26,,
WH,"Intermediate bulk container, aluminium, pressurised > 10 kpa",23 to 26,,
WJ,"Intermediate bulk container, metal, pressure 10 kpa",23 to 26,,
WK,"Intermediate bulk container, steel, liquid",23 to 26,,
WL,"Intermediate bulk container, aluminium, liquid",23 to 26,,
WM,"Intermediate bulk container, metal, liquid",23 to 26,,
WN,"Intermediate bulk container, woven plastic, without coat/liner",62 to 64,,
WP,"Intermediate bulk container, woven plastic, coated",62 to 64,,
WQ,"Intermediate bulk container, woven plastic, with liner",62 to 64,,
WR,"Intermediate bulk container, woven plastic, coated and liner",62 to 64,,
WS,"Intermediate bulk container, plastic film",62 to 64,,
WT,"Intermediate bulk container, textile with out coat/liner",62 to 64,,
WU,"Intermediate bulk container, natural wood, with inner liner",23 to 26,,
WV,"Intermediate bulk container, textile, coated",62 to 64,,
WW,"Intermediate bulk container, textile, with liner",62 to 64,,
WX,"Intermediate bulk container, textile, coated and liner",62 to 64,,
WY,"Intermediate bulk container, plywood, with inner liner",23 to 26,,
WZ,"Intermediate bulk container, reconstituted wood, with inner liner",23 to 26,,
XA,"Bag, woven plastic, without inner coat/liner",62 to 64,,
XB,"Bag, woven plastic, sift proof",62 to 64,,
XC,"Bag, woven plastic, water resistant",62 to 64,,
XD,"Bag, plastics film",62 to 64,,
XF,"Bag, textile, without inner coat/liner",62 to 64,,
XG,"Bag, textile, sift proof",62 to 64,,
XH,"Bag, textile, water resistant",62 to 64,,
XJ,"Bag, paper, multi-wall",62 to 64,,
XK,"Bag, paper, multi-wall, water resistant",62 to 64,,
YA,"Composite packaging, plastic receptacle in steel drum",33 or 34,,
YB,"Composite packaging, plastic receptacle in steel crate box",24 or 25,,
YC,"Composite packaging, plastic receptacle in aluminium drum",33 or 34,,
YD,"Composite packaging, plastic receptacle in aluminium crate",24 or 25,,
YF,"Composite packaging, plastic receptacle in wooden box",24 or 25,,
YG,"Composite packaging, plastic receptacle in plywood drum",33 or 34,,
YH,"Composite packaging, plastic receptacle in plywood box",24 or 25,,
YJ,"Composite packaging, plastic receptacle in fibre drum",33 or 34,,
YK,"Composite packaging, plastic receptacle in fibreboard box",24 or 25,,
YL,"Composite packaging, plastic receptacle in plastic drum",33 or 34,,
YM,"Composite packaging, plastic receptacle in solid plastic box",24 or 25,,
YN,"Composite packaging, glass receptacle in steel drum",33 or 34,,
YP,"Composite packaging, glass receptacle in steel crate box",24 or 25,,
YQ,"Composite packaging, glass receptacle in aluminium drum",33 or 34,,
YR,"Composite packaging, glass receptacle in aluminium crate",24 or 25,,
YS,"Composite packaging, glass receptacle in wooden box",24 or 25,,
YT,"Composite packaging, glass receptacle in plywood drum",33 or 34,,
YV,"Composite packaging, glass receptacle in wickerwork hamper",23.0,,
YW,"Composite packaging, glass receptacle in fibre drum",33 or 34,,
YX,"Composite packaging, glass receptacle in fibreboard box",24 or 25,,
YY,"Composite packaging, glass receptacle in expandable plastic pack",62 or 63,,
YZ,"Composite packaging, glass receptacle in solid plastic pack",23 or 24,,
ZA,"Intermediate bulk container, paper, multi-wall",62 to 64,,
ZB,"Bag, large",62 to 64,,
ZC,"Intermediate bulk container, paper, multi-wall, water resistant",62 to 64,,
ZD,"Intermediate bulk container, rigid plastic, with structural equipment, solids",23 to 26,,
ZF,"Intermediate bulk container, rigid plastic, freestanding, solids",23 to 26,,
ZG,"Intermediate bulk container, rigid plastic, with structural equipment, pressurised",23 to 26,,
ZH,"Intermediate bulk container, rigid plastic, freestanding, pressurised",23 to 26,,
ZJ,"Intermediate bulk container, rigid plastic, with structural equipment, liquids",23 to 26,,
ZK,"Intermediate bulk container, rigid plastic, freestanding, liquids",23 to 26,,
ZL,"Intermediate bulk container, composite, rigid plastic, solids",23 to 26,,
ZM,"Intermediate bulk container, composite, flexible plastic, solids",62 to 64,,
ZN,"Intermediate bulk container, composite, rigid plastic, pressurised",23 to 26,,
ZP,"Intermediate bulk container, composite, flexible plastic, pressurised",62 to 64,,
ZQ,"Intermediate bulk container, composite, rigid plastic, liquids",23 to 26,,
ZR,"Intermediate bulk container, composite, flexible plastic, liquids",62 to 64,,
ZS,"Intermediate bulk container, composite","23 to 26 or
62 to 64",,
ZT,"Intermediate bulk container, fibreboard",23 to 26,,
ZU,"Intermediate bulk container, flexible",23 to 26,,
ZV,"Intermediate bulk container, metal, other than steel",23 to 26,,
ZW,"Intermediate bulk container, natural wood",23 to 26,,
ZX,"Intermediate bulk container, plywood",23 to 26,,
ZY,"Intermediate bulk container, reconstituted wood",23 to 26,,
ZZ,Mutually defined,0.0,,
